country,date,fatalities,flight_model,location,operator
Atlantic Ocean,05-05-1948,2,Douglas C-47A (DC-3),,Superior Oil Corp.
Australia,09-05-1948,0,Douglas DC-2-112,Darwin Airpo...,New Holland Airways
Atlantic Ocean,09-05-1948,12,Consolidated PBY-6A Catalina,Caribbean,US Navy
D.R. Congo,12-05-1948,31,Douglas DC-4-1009,near Magazini,Sabena
Brazil,14-05-1948,0,Douglas R4D (DC-3),Rio de Janei...,US Navy
Argentina,14-05-1948,0,Vickers 615 Viking 1B,near JunC-n Airpor...,FAMA
South Africa,15-05-1948,13,Douglas C-49K (DC-3),near Vrede,Mercury Aviation
USA,16-05-1948,2,Curtiss C-46E,near Columbus-Por...,Slick Airways
Philippines,17-05-1948,0,Douglas DC-3,near Cebu-Lahug A...,Philippine Air Lines
U.K.,20-05-1948,3,Douglas C-47A (DC-3),near Bovingdon,Air Transport Charter
U.K.,20-05-1948,0,Douglas Dakota IV (DC-3),,RAF
Israel,22-05-1948,0,Douglas Dakota IV (DC-3),Ramat David,RAF
Russia,22-05-1948,8,Douglas C-47B (DC-3),near Magadan,Aeroflot / Far East
Israel,22-05-1948,,Douglas Dakota IV (DC-3),Ramat-David ...,RAF
Israel,23-05-1948,1,Curtiss C-46,near Latrun,Israeli AF
Colombia,24-05-1948,4,Douglas C-47 (DC-3),Madrid Air Base,Colombian AF
Poland,26-05-1948,,Lisunov Li-2T,near Popowice,LOT
U.K.,26-05-1948,0,Douglas Dakota IV (DC-3),North Luffen...,RAF
USA,27-05-1948,7,Douglas C-47B (DC-3),near Banton Rouge...,USAF
U.K.,28-05-1948,2,Miles M.60 Marathon I,near Amesbury,A & AEE
U.K.,31-05-1948,0,Short Sunderland GR.5,Lough Erne,RAF
France,31-05-1948,0,SNCASE SE.161/1 Languedoc,Reims,LOT
Israel,03-06-1948,,Douglas C-47 (DC-3),,Royal Egyptian Air Force
Israel,03-06-1948,,Douglas C-47 (DC-3),,Royal Egyptian Air Force
Italy,04-06-1948,0,Douglas C-47 (DC-3),Bari,JUSTA
Portugal,08-06-1948,0,Douglas C-47A (DC-3),Lisboa,TAP
USA,12-06-1948,0,Douglas C-47A (DC-3),"Eloy, AZ",Eagle Air Freight
France,14-06-1948,,SNCASE SE.161/P7 Languedoc,Coulommiers,Air France
Netherlands,16-06-1948,0,Douglas DC-4-1009,Amsterdam-Sc...,KLM
USA,17-06-1948,43,Douglas DC-6,near Mount Carmel...,United Airlines
