country,date,fatalities,flight_model,location,operator
Austria,17-06-1948,0,Douglas C-47 (DC-3),Salzburg  Ai...,TARS
Ecuador,17-06-1948,0+ 1,Douglas C-47 (DC-3),Pastaza-Shel...,Ecuador Air Force
China,19-06-1948,,Curtiss C-46,Beijing,Civil Air Transport
Venezuela,21-06-1948,0,Douglas C-47A (DC-3),Maracaibo-Gr...,T.A. Transandino
USA,21-06-1948,0,Lockheed P2V-2 Neptune,Whidbey Isla...,US Navy
Venezuela,26-06-1948,1,Douglas C-47B (DC-3),Caracas Airp...,LAV
Colombia,29-06-1948,0,Lockheed 18 Lodestar,BogotC!-Techo,SCOLTA
Turkey,30-06-1948,1,Junkers Ju-52,Istanbul,TABSO
Belgium,01-07-1948,8,Fiat G.212PW,Keerbergen A...,ALI
Mexico,01-07-1948,14,Douglas DC-3,Pico de Orizaba,Unknown
U.K.,04-07-1948,32,Douglas DC-6,Northwood,SAS
U.K.,04-07-1948,7,Avro 685 York C.1,Northwood,RAF
Israel,04-07-1948,0,Curtiss C-46,Ekron-Tel No...,Israeli AF
Germany,05-07-1948,0,Douglas C-47A (DC-3),near Wiesbaden Ai...,USAF
Vietnam,07-07-1948,16,Douglas C-47 (DC-3),Djiring,Aigle Azur
Germany,08-07-1948,3,Douglas C-47A (DC-3),near Wiesbaden,USAF
Argentina,08-07-1948,5,Douglas C-47A (DC-3),near Coronel Prin...,Argentine Navy
Venezuela,10-07-1948,0,Curtiss C-46D,near Maiquetia-La...,Interamericano
France,12-07-1948,0,Douglas DC-4-1009,Paris-Orly A...,Air France
Israel,13-07-1948,,Douglas C-47 Pe're (DC-3),Ramat-David ...,Israeli AF
Brazil,14-07-1948,5,Douglas C-47A (DC-3),"BelC)m, PA",Aerovias Brasil
France,14-07-1948,6,Douglas C-47B (DC-3),near Toulon,BOAC
Singapore,14-07-1948,0,Short Sunderland GR.5,Singapore-Se...,RAF
Venezuela,15-07-1948,,Consolidated PBY-5A Catalina,Puerto Cabel...,Unknown
China,16-07-1948,25,Consolidated PBY-5A Catalina,near Kau Chau Island,"Cathay Pacific, opf MATCO"
Mediterranean Sea,20-07-1948,0,Douglas C-47B (DC-3),"near Marseille, F...",French AF
France,20-07-1948,5,SNCAC NC.211 Cormoran,near Villacoublay...,SNCAC
Ethiopia,22-07-1948,0,Douglas C-47A (DC-3),Gore Airport...,Ethiopian Air Lines
Unknown country,22-07-1948,,Douglas C-47B (DC-3),Indo-China,French AF
Canada,24-07-1948,26,Douglas C-47 (DC-3),Cap des Rosi...,Rimouski Airlines
Germany,24-07-1948,0,Douglas Dakota IV (DC-3),Fassberg Air...,RAF
Germany,25-07-1948,2,Douglas C-47B (DC-3),near Berlin-Tempe...,USAF
Sudan,27-07-1948,0,Lockheed C-60A Lodestar,Wadi Halfa A...,Air Transport
U.K.,27-07-1948,0,Avro 685 York C.1,Abingdon RAF...,RAF
Canada,28-07-1948,1,PBV-1A Canso A (PBY-5A),"Kittigazuit,...",RCAF
China,29-07-1948,19,Curtiss C-46D,Qingdao Airp...,Civil Air Transport
Argentina,29-07-1948,20,Short S.25 Sandringham 2,near Buenos Aires,ALFA
U.K.,30-07-1948,0,Douglas C-47A (DC-3),near Sywell,BEA
Russia,31-07-1948,3,Naval Aircraft Factory PBN-1 Nomad,Turukhansk A...,Aeroflot / Krasnoyarsk
Pakistan,01-08-1948,4,Avro 691 Lancastrian XPP,Karachi-Maur...,Onzeair
Atlantic Ocean,01-08-1948,52,LatC)coC(re 631,"near Dakar, Senegal",Air France
Germany,01-08-1948,0,Douglas Dakota IV (DC-3),Berlin-RAF G...,RAF
USA,05-08-1948,10,Douglas R4D-6 (DC-3),"near Miami NAS, FL",US Navy
New Zealand,09-08-1948,2,Douglas C-47B (DC-3),Rununder Point,New Zealand National Airways
USA,10-08-1948,0,Curtiss C-46F,"Pyote AFB, TX",Skyways Int.
U.K.,11-08-1948,0,Avro 685 York C.1,Desford RAF ...,RAF
U.K.,11-08-1948,0,Short Sunderland GR.5,Belfast,RAF
Canada,12-08-1948,0,Canadair DC-4M1 North Star,Sydney Airpo...,TCAL
Germany,13-08-1948,0,Douglas C-54G (DC-4),Berlin-Tempe...,USAF
USA,13-08-1948,0,Fairchild C-82A Packet,"Gadsden, AL",USAF
Malaysia,19-08-1948,5,Douglas Dakota IV (DC-3),Batu Melintang,RAF
Australia,19-08-1948,0,Douglas DC-3,Brisbane-Arc...,Qantas
Venezuela,20-08-1948,3,Douglas C-47A (DC-3),"near Coro, FalcC3n",AVENSA
Germany,24-08-1948,2,Douglas C-47A (DC-3),near Ravolzhausen,USAF
Germany,24-08-1948,2,Douglas C-47A (DC-3),near Ravolzhausen,USAF
USA,24-08-1948,9,Douglas C-47 (VC-117B) (DC-3),"near Newton, NJ",USAF
Singapore,27-08-1948,0,Avro 691 Lancastrian C.1,Tengah RAF S...,BOAC
Unknown country,27-08-1948,,Douglas DC-3,,AerovC-as Cubanas Internacionales
Unknown country,27-08-1948,,Douglas C-47 (DC-3),,LANICA
USA,29-08-1948,37,Martin 2-0-2,"near Winona, WI",Northwest Airlines
France,29-08-1948,,SNCASE SE.161/P7 Languedoc,Paris-Le Bou...,Air France
D.R. Congo,31-08-1948,13,Douglas C-47A (DC-3),near Kimbwe,Sabena
Australia,02-09-1948,13,Douglas C-47A (DC-3),"near Quirindi, NSW",ANA
Russia,02-09-1948,1,Ilyushin Il-12,Novosibirsk-...,Aeroflot / Moscow
Portugal,03-09-1948,0,Douglas DC-4,Lisboa Airpo...,TAP
Russia,04-09-1948,6,Lisunov Li-2,Moskva-Bykov...,Aeroflot / Moscow
Indonesia,05-09-1948,0,Short S.25 Sunderland 3,Surabaya,BOAC
Norway,06-09-1948,13,PB2B-1 Catalina IVB,"FC8rdesveten,...",Norwegian AF
Italy,07-09-1948,0,Douglas C-47 (DC-3),Roma-Ciampin...,Superior Oil Corp.
Canada,07-09-1948,,Douglas C-47A (DC-3),"near Edmonton, AB",USAF
Brazil,08-09-1948,0,Lockheed 18 Lodestar,"Barbacena, MG",Universal Transportes AC)reos - UTA
Russia,09-09-1948,4,Ilyushin Il-12,near Buguruslan-B...,Aeroflot
Macedonia,12-09-1948,0,Douglas C-47B (DC-3),Tetovo,TAE
Russia,16-09-1948,7,Lisunov Li-2T,near Cape Medynsk...,Polyarnaya Aviatsiya
Germany,19-09-1948,5,Avro 685 York C.1,Wunstorf RAF...,RAF
USA,20-09-1948,0,Douglas DC-3-178,Burlington I...,Colonial Airlines
Portugal,22-09-1948,0,Douglas C-54A (DC-4),Santa Maria-...,Guest Aerovias Mexico
Germany,23-09-1948,0,Avro 685 York C.1,Wunstorf RAF...,RAF
USA,28-09-1948,0,Douglas DC-4,New York-La ...,TWA
Australia,28-09-1948,7,PB2B-2 Catalina,Lord Howe Is...,RAAF
Kazakhstan,30-09-1948,15,Lisunov Li-2,near Balkhash Air...,Aeroflot / Kazakstan
Indonesia,01-10-1948,6,Douglas C-47A (DC-3),Mount Punggu...,Indonesian AF
Norway,02-10-1948,19,Short S.25 Sandringham 5,Trondheim-Ho...,DNL
U.K.,02-10-1948,0,Handley Page Hastings C.1,Dishforth RA...,RAF
Bahamas,04-10-1948,0,Douglas C-47B (DC-3),Haines Bay,New England Air Express
Colombia,04-10-1948,0,Douglas DC-3A-447,near Rionegro,SCOLTA
Brazil,07-10-1948,0,Douglas C-47A (DC-3),Campina Gran...,L.A. Paulistas
Unknown country,07-10-1948,,Douglas Dakota IV (DC-3),,RAF
India,08-10-1948,0,Vickers 604 Viking 1B,Delhi-Palam ...,Indian National Airways
Germany,10-10-1948,0,Avro 685 York C.1,Berlin-R.A.F...,RAF
Sudan,12-10-1948,0,Douglas C-47 (DC-3),near Wadi Halfa,Mercury Aviation
Germany,12-10-1948,0,Douglas Dakota IV (DC-3),BC<ckeburg RA...,RAF
Azerbaijan,12-10-1948,10,Ilyushin Il-12,near Yevlakh,Aeroflot / Uzbekistan
Russia,12-10-1948,4,Lisunov Li-2,near Parshino,Aeroflot / East Siberia
Russia,12-10-1948,4,Lisunov Li-2T,"near Parshino, Ki...",Aeroflot / East Siberia
U.K.,13-10-1948,0,Consolidated 32-2 Liberator II,Liverpool In...,Scottish Airlines
USA,17-10-1948,4,Fairchild C-82A Packet,"near Clinton, LA",USAF
Germany,18-10-1948,3,Douglas C-54D (DC-4),near Frankfurt,USAF
U.K.,20-10-1948,40,Lockheed L-049 Constellation,near Glasgow-Pres...,KLM
Israel,24-10-1948,5,Douglas C-47A (DC-3),Ekron-Tel No...,Israeli AF
Mexico,24-10-1948,8,Curtiss C-46,near Cozumel,Transandina Ecuador
USA,24-10-1948,3,Douglas C-47D (DC-3),Rantoul-Chan...,USAF
Indonesia,25-10-1948,,Douglas C-47 (DC-3),near Sumatra Island,Pacific Overseas Airlines
Russia,25-10-1948,18,Lisunov Li-2,near Samurskaya,Aeroflot / Georgia
Canada,27-10-1948,2,Douglas C-54A (DC-4),"near Edmonton, AB",Northwest Airlines
Italy,29-10-1948,4,Lockheed 14-08 Super Electra,near Elba [Tyrrhe...,R.A. Brand & Co. Ltd.
Germany,30-10-1948,0,Douglas Dakota IV (DC-3),LC<beck-Blank...,RAF
Israel,31-10-1948,0,Lockheed C-60A Lodestar,Herzlia Airf...,Israeli AF
Israel,??-OCT-1948,0,Douglas DC-5-511,Ramat David ...,Israeli AF
Russia,01-11-1948,6,Lisunov Li-2,near Mys Kosistyy,Polyarnaya Aviatsiya
USA,04-11-1948,17,Douglas C-47A (DC-3),near Cape Spencer...,Pacific Alaska Air Express
Canada,04-11-1948,9,Lockheed P2V-2 Neptune,Mount Guemes...,US Navy
Germany,05-11-1948,0,Douglas Dakota IV (DC-3),Berlin-R.A.F...,RAF
Australia,08-11-1948,3,Douglas DC-3-232,Mount Macedo...,ANA
Colombia,10-11-1948,2,Douglas C-47 (DC-3),BogotC!,Avianca
Germany,10-11-1948,0,Avro 685 York C.1,Wunstorf RAF...,RAF
Malaysia,12-11-1948,3,Douglas Dakota IV (DC-3),near Rawang,RAF
U.K.,13-11-1948,0,Consolidated 32-2 Liberator II,Prestwick-He...,BOAC
Micronesia,15-11-1948,0,Douglas DC-6,Wake Island ...,Philippine Air Lines
Germany,15-11-1948,0,Douglas R5D-3 (C-54D),Berlin-Tempe...,US Navy
Germany,17-11-1948,4,Douglas Dakota IV (DC-3),Berlin-SchC6n...,RAF
Tajikistan,18-11-1948,4,Lisunov Li-2,near Leninabad,Aeroflot / Tajikistan
Panama,18-11-1948,,Lockheed P2V-2 Neptune,ColC3n-Coco S...,US Navy
Guyana,19-11-1948,,Douglas C-47D (DC-3),near Georgetown,USAF
France,20-11-1948,0,Douglas C-47 (DC-3),Paris-Orly A...,Mercury Aviation
India,21-11-1948,0,Douglas C-47 (DC-3),Bombay-Santa...,Indian Overseas Airlines
U.K.,22-11-1948,7,Avro 691 Lancastrian C.3,Conholt Park,Flight Refuelling
Russia,22-11-1948,23,Lisunov Li-2,"near Ryzhovo, Sakha",Aeroflot / Yakutsk
France,23-11-1948,1,SNCASE SE.161/P7 Languedoc,Toulouse,Air France
Brazil,24-11-1948,0,Douglas C-47A (DC-3),Fazenda Boa ...,TCA
USA,25-11-1948,0,Lockheed L-049 Constellation,Los Angeles ...,TWA
Pakistan,26-11-1948,21,Douglas C-47A (DC-3),Vehari,Pakistan Airways
Germany,02-12-1948,0,Avro 685 York C.1,Berlin-R.A.F...,RAF
U.K.,02-12-1948,0,Short Sunderland V,"RAF Wig Bay,...",RAF
USA,03-12-1948,0,Douglas DC-6,"near Cambray, NM",American Airlines
Czech Rep.,04-12-1948,0,Douglas C-47A (DC-3),Praha-Ruzyne...,CSA
China,05-12-1948,9,Curtiss C-46,Kiangwan,Central Air Transport
Germany,05-12-1948,3,Douglas C-54D (DC-4),near Fassberg,USAF
Pacific Ocean,05-12-1948,4,Douglas C-54D (DC-4),near Hawaii,USAF
Italy,06-12-1948,7,Douglas C-47 (DC-3),Milano-Linat...,ALI
Venezuela,07-12-1948,0,Douglas C-47 (DC-3),Maracaibo-Gr...,private
Colombia,07-12-1948,,Douglas C-47A (DC-3),BogotC!,LANSA
Cuba,09-12-1948,0,Convair CV-240-2,Havana-Ranch...,Pan Am
Greenland,09-12-1948,0,Douglas C-47A (DC-3),within Greenland,USAF
Germany,11-12-1948,1,Douglas R5D-3 (DC-4),near KC6nigstein i...,US Navy
Taiwan,12-12-1948,2,Douglas DC-3,Taipei,CNAC
Chile,12-12-1948,0,Douglas C-54A (DC-4),Antofagasta-...,Peruvian Int. Airways
Germany,14-12-1948,0,Avro 685 York C.1,Berlin-R.A.F...,RAF
Germany,14-12-1948,0,Avro 685 York C.1,Berlin-R.A.F...,RAF
Germany,14-12-1948,0,Fairchild C-82A Packet,Berlin-Tempe...,USAF
Peru,15-12-1948,0,Douglas C-47B (DC-3),Playa Viru,Faucett
Colombia,15-12-1948,30,Douglas C-47A (DC-3),near BogotC!,LANSA
USA,16-12-1948,4,Fairchild C-82A Packet,near Greenville-D...,USAF
Hong Kong,21-12-1948,35,Douglas C-54B (DC-4),Basalt Island,CNAC
Russia,21-12-1948,19,Lisunov Li-2,Raiiz mounta...,Soviet Ministry of Internal Affairs
Greece,21-12-1948,24,Douglas C-47A (DC-3),near Pilos,CSA
Spain,23-12-1948,27,Douglas C-47 (DC-3),near Gandesa,Iberia
Russia,23-12-1948,4,Ilyushin Il-12B,"Valuyevo, Mo...",Aeroflot / Uzbekistan
Russia,23-12-1948,8,Douglas TS-62 (DC-3),"Valuyevo, Mo...",Aeroflot / Moscow
Canada,23-12-1948,,Fairchild C-82A Packet,"Fort Nelson, BC",USAF
Argentina,24-12-1948,0,Consolidated 16 Commodore,Puerto Nuevo...,ALFA
Argentina,24-12-1948,0,Macchi M.C.94-II,Puerto Nuevo...,ALFA
Argentina,24-12-1948,0,Macchi M.C.94-II,Puerto Nuevo...,ALFA
Argentina,24-12-1948,0,Macchi M.C.94-II,Puerto Nuevo...,ALFA
Atlantic Ocean,28-12-1948,32,Douglas DST-144 (DC-3),"near Florida, USA...",Airborne Transport
Australia,29-12-1948,0,Douglas DC-3-232,"near Mangalore, VIC",ANA
Colombia,29-12-1948,,Douglas DC-3A-414,Villavicencio,Avianca
Indonesia,29-12-1948,1,Consolidated Catalina IIA (PBY-5A),"Jambi, Sumatra",Indonesian AF
Belarus,30-12-1948,3,Douglas TS-62 (DC-3),near Minsk,Aeroflot / Moscow
Italy,31-12-1948,13,Douglas C-47A (DC-3),Monte Argent...,Pan African Air Charter
Spain,??-???-1948,,Ford 4-AT-F Tri-Motor,,Iberia
Unknown country,??-???-1948,,Douglas C-54A (DC-4),,Trans Caribbean Airways
Unknown country,??-???-1948,,Amiot AAC.1 (Junkers Ju-52),,STA
Unknown country,??-???-1948,,Curtiss C-46A,,L.A. Transatlantica Colombia
Ecuador,??-???-1948,,Ford 4-AT Tri-Motor,,Shell Ecuador
Russia,??-???-1948,,Junkers Ju-52/3mg7e,near Chita,Soviet AF
USA,02-01-1949,14,Douglas C-47A (DC-3),Seattle-Boei...,Seattle Air Charter
Israel,02-01-1949,,Douglas C-54B (DC-4),near Tel Aviv,Israeli AF
Germany,04-01-1949,0,Douglas C-47 (DC-3),MC<nchen-Riem...,Maszovlet
USA,04-01-1949,8,Douglas VC-47D (DC-3),"near Weimar, CA",USAF
Mexico,05-01-1949,0,Curtiss C-46A,Zacatecas Ai...,private
Brazil,05-01-1949,3,Avro 685 York I,Caravelas Ba...,BSAA
USA,06-01-1949,2,Douglas C-47A (DC-3),"Brandywine, MD",Coastal Cargo
Iran,06-01-1949,,Douglas C-47B (DC-3),Birjand Airp...,Iranian Airways
U.K.,07-01-1949,6,Douglas C-54G (DC-4),near Garstang,USAF
Algeria,07-01-1949,2,Breguet 730,near Arzew,French Navy
USA,07-01-1949,3,Douglas C-47A (DC-3),"near Mineral, WA",USAF
France,08-01-1949,0,Douglas C-47A (DC-3),Lyon-Bron Ai...,Air AlgC)rie
Russia,09-01-1949,3,Lisunov Li-2,near Kazan,Aeroflot / Uralsk
Brazil,11-01-1949,8,Lockheed 18 Lodestar,near Pelotas-Fede...,SAVAG - ViaC'C#o AC)rea Gaucha
Germany,12-01-1949,3,Douglas C-54D (DC-4),near Frankfurt Rh...,USAF
USA,14-01-1949,3,Fairchild C-82A Packet,near Fayetteville...,USAF
Egypt,15-01-1949,0,Douglas C-47A (DC-3),Ras-el-Tin,Pan African Air Charter
India,16-01-1949,13,Douglas C-47B (DC-3),near Banihal Pass,Dalmia Jain Airways
Peru,17-01-1949,0,Curtiss C-46A,Rio Yavari,ANDES
Atlantic Ocean,17-01-1949,20,Avro 688 Tudor 4B,western Atla...,BSAA
USA,17-01-1949,1,Beech 34 Twin Quad,Wichita-Beec...,Beechcraft
Canada,17-01-1949,0,Douglas Dakota III (DC-3),"near Churchill, MB",RCAF
Germany,18-01-1949,1,Douglas C-54G (DC-4),near Fassberg,USAF
Ukraine,19-01-1949,8+ 2,Ilyushin Il-12P,near Stalino Airp...,Aeroflot / Moscow
USA,20-01-1949,5,Douglas C-47A (DC-3),"near Homer, AK",Alaska Airlines
Puerto Rico,21-01-1949,0,Lockheed P2V-2 Neptune,Roosevelt Ro...,US Navy
Sweden,22-01-1949,,Douglas C-47A (DC-3),LuleC%-Kallax...,SAS
USA,23-01-1949,5,Douglas R4D-6 (DC-3),"near Toledo, OH",US Navy
Germany,24-01-1949,8,Douglas Dakota IV (DC-3),near Utecht,RAF
Eritrea,26-01-1949,0,Curtiss C-46F,Asmara Inter...,"USAF, op.for Pan Am"
USA,27-01-1949,0,Douglas C-47 (DC-3),"Alameda, CA",United Airlines
Russia,29-01-1949,3,Lisunov Li-2T,Nizhnyaya Pe...,Aeroflot / Northern
USA,30-01-1949,0,Lockheed L-749 Constellation,near Port Washing...,Pan Am
Taiwan,30-01-1949,0,unknown,Tainan,CNAC
Libya,01-02-1949,0,Avro 685 York I,Tripoli-Cast...,BOAC
Russia,03-02-1949,0,Junkers Ju-52/3m,between Chit...,Aeroflot / East Siberia
Libya,04-02-1949,1,Douglas C-54A (DC-4),near Tripoli-Cast...,Skyways
Colombia,05-02-1949,5,Consolidated PBY-5A Catalina,Buenaventura...,Avianca
Ecuador,06-02-1949,2,Douglas C-47A (DC-3),Guayaquil,AECA
Russia,07-02-1949,1,Junkers Ju-52/3m,"near Mezenka, Bel...",MAP Tyumen No. 26
Sweden,08-02-1949,27,Vickers 628 Viking 1B,near BarsebC$ck [C...,SAS
Peru,10-02-1949,16,Douglas C-47B (DC-3),near HuC!nuco,Faucett
China,10-02-1949,0,Douglas DC-3,Paiyang,Lutheran Mission
Germany,15-02-1949,0,Douglas R5D-2 (C-54B),Oberpfaffenh...,US Navy
Uruguay,16-02-1949,0,Douglas C-47 (DC-3),Montevideo,Francisco Pignatari
Argentina,17-02-1949,8,Douglas C-47D (DC-3),near San Antonio ...,USAF
U.K.,19-02-1949,10,Douglas C-47A (DC-3),near Exhall,BEA
U.K.,21-02-1949,0,Short S.25 Sunderland 3,"Hythe, Hamps...",BOAC
USA,22-02-1949,0,Curtiss C-46A,Annette Isla...,Golden North Airways
Hong Kong,24-02-1949,23,Douglas C-47A (DC-3),"North Point,...",Cathay Pacific
Peru,24-02-1949,22,Douglas DC-3,Cuzco Airpor...,TAM Peru
USA,28-02-1949,,Lockheed R5O-3 (Lodestar),,US Navy
Mexico,28-02-1949,9,Douglas C-47B (DC-3),Cerro Colorado,USAF
Brazil,01-03-1949,0,Fairchild C-82A Packet,"near BraganC'a, PA",USAF
Canada,02-03-1949,0,Douglas C-54B (DC-4),Gander Airpo...,TWA
Germany,04-03-1949,1,Douglas C-54E (DC-4),near Bad Langensalza,USAF
Japan,05-03-1949,6,Curtiss C-46D,near Okinawa-Naha...,USAF
Germany,09-03-1949,0,Douglas C-54D (DC-4),near Celle,USAF
Australia,10-03-1949,21,Lockheed 18 Lodestar,Coolangatta ...,Queensland Airlines
Nicaragua,11-03-1949,,Douglas C-47 (DC-3),Puerto Cabezas,LANICA
Uzbekistan,12-03-1949,11,Lisunov Li-2,Mount Bel-Auty,Aeroflot / Tajikistan
Vietnam,12-03-1949,23,Amiot AAC.1 (Junkers Ju-52),Hoang Su Phi,French AF
Germany,15-03-1949,3,Avro 685 York I,near Berlin-Gatow,Skyways
P.N. Guinea,16-03-1949,0,Douglas DC-2-243,Kerowagi,Guinea Air Traders
New Zealand,18-03-1949,15,Lockheed C-60A Lodestar,near Paraparaumu ...,New Zealand National Airways
Colombia,22-03-1949,0,Curtiss C-46A,Barranquilla...,L.A. Transatlantica Colombia
Germany,22-03-1949,3,Douglas Dakota IV (DC-3),near LC<beck,RAF
Jamaica,22-03-1949,0,Lockheed 14-08 Super Electra,Kingston-Pal...,Kenting Aviation
Canada,24-03-1949,0,Fairchild C-82A Packet,near Resolute Bay...,USAF
Mexico,26-03-1949,0,Curtiss C-46F,near Campeche,"Freight Air, lsf USAF"
Pacific Ocean,27-03-1949,0,Consolidated PBY-6A Catalina,near Johnston Island,US Navy
Brazil,29-03-1949,0,Douglas DC-2-243,Belo Horizon...,Aerovias Brasil
Germany,06-04-1949,0,Handley Page Hastings C.1,Schleswiglan...,RAF
Greece,06-04-1949,7,Douglas C-47D (DC-3),near Pirsogianni,Hellenic AF
Australia,07-04-1949,0,Avro 691 Lancastrian C.1,Dubbo Airpor...,Qantas
India,07-04-1949,0,Vickers 632 Viking 1B,Marve Beach,Air-India
France,09-04-1949,0,SNCASE SE.161/P7 Languedoc,Nice Airport...,Air France
Brazil,20-04-1949,0,Douglas C-47A (DC-3),Porto Nacion...,TCA
Germany,21-04-1949,0,Avro 685 York C.1,GC<tersloh Ai...,RAF
Greece,23-04-1949,0,Douglas C-47A (DC-3),Athens-Hassa...,TAE
Greece,29-04-1949,0,Douglas DC-3,Thessaloniki...,TARS
Russia,29-04-1949,14,Lisunov Li-2,near Kirensk,Aeroflot / Yakutsk
U.S. Virgin Isl.,04-05-1949,0,Curtiss C-46F,Saint Thomas...,Continental Charters
Italy,04-05-1949,31,Fiat G.212CP,near Torino-Aerit...,ALI
Brazil,05-05-1949,,Curtiss C-46A,"near Tupaciguara, MG",private
U.K.,06-05-1949,7,Bristol 170 Freighter 31,near Portland Lig...,Bristol
Philippines,07-05-1949,13,Douglas C-47B (DC-3),between Daet...,Philippine Air Lines
Ecuador,09-05-1949,11,Douglas C-47 (DC-3),VolcC!n Tungu...,Ecuador Air Force
Germany,10-05-1949,0,Avro 691 Lancastrian XPP,near Schwerin,Flight Refuelling
Ecuador,13-05-1949,0,Curtiss C-46D,Quito-Marisc...,Transandina Ecuador
Russia,13-05-1949,25,Ilyushin Il-12P,near Novosibirsk-...,Aeroflot / Moscow
USA,15-05-1949,,Consolidated PBY-5A Catalina,Detroit Rive...,US Navy
Canada,18-05-1949,,Douglas C-47A (DC-3),"Yellowknife, NT",RCAF
Canada,20-05-1949,0,Fairchild C-82A Packet,Isachsen Air...,USAF
U.K.,23-05-1949,0,Douglas Dakota IV (DC-3),North Luffen...,RAF
Germany,26-05-1949,,Douglas C-54D (DC-4),Celle RAF St...,USAF
USA,27-05-1949,2,Curtiss C-46F,"Maui, HI",Trans-Air Hawaii
Canada,30-05-1949,0,Douglas R5D-3 (C-54D),Stephenville...,US Navy
China,02-06-1949,3,Curtiss C-46,near Chongqing,Central Air Transport
USA,03-06-1949,0,Curtiss C-46D,Miami Intern...,RANSA
Greece,06-06-1949,22,Douglas C-47A (DC-3),near Athens,TAE
Brazil,06-06-1949,28,Douglas C-47B (DC-3),near FlorianC3poli...,Brazilian AF
Puerto Rico,07-06-1949,53,Curtiss C-46D,near San Juan-Isl...,Strato-Freight
Canada,09-06-1949,,PBV-1A Canso (PBY-5A),"Osisko Lake, QC",Canadian Pacific
USA,13-06-1949,7,Douglas R4D-6 (DC-3),near Santa Monica...,US Navy
Israel,13-06-1949,0,Douglas DC-3,Kolunda,El Al
Germany,19-06-1949,0,Avro 685 York C.1,Neustadt,Skyways
Dominican Rep.,19-06-1949,4,Consolidated PBY-5 Catalina,near LuperC3n,La LegiC3n Caribe
USA,22-06-1949,0,Convair CV-240-0,near Memphis Muni...,American Airlines
Unknown country,22-06-1949,,Douglas C-47B (DC-3),unknown,French AF
Italy,23-06-1949,33,Lockheed L-749-79-33 Constellation,near Bari,KLM
Australia,24-06-1949,0,Catalina IVB (PBY-5A),Lord Howe Is...,"RAAF, op.for Qantas"
Canada,24-06-1949,0,Douglas R5D-4 (C-54E),Stephenville...,US Navy
Germany,25-06-1949,0,Douglas C-54E (DC-4),Berlin-Tempe...,USAF
Germany,26-06-1949,0,Avro 691 Lancastrian C.4,Berlin-R.A.F...,Skyways
Israel,26-06-1949,0,Curtiss C-46A,Avraham,Israeli AF
Australia,02-07-1949,18,Douglas C-47A (DC-3),near Guildford Ai...,MacRobertson Miller Airlines
Singapore,02-07-1949,0,Douglas Dakota IV (DC-3),Singapore-Se...,RAF
USA,09-07-1949,3,Lockheed 18 Lodestar,"near Roanoke, IL",Fairbanks Morse and Company
Morocco,09-07-1949,18,Junkers Ju-52,near Zaouit Massa,French Navy
Hong Kong,11-07-1949,0,Douglas C-47A (DC-3),Hong Kong-Ka...,Hong Kong Airways
USA,12-07-1949,35,Curtiss C-46E,"near Chatsworth, CA",Standard Airlines
India,12-07-1949,45,Lockheed L-749-79-33 Constellation,near Bombay-Santa...,KLM
Germany,12-07-1949,3,Douglas C-54D (DC-4),near Rathenow,USAF
USA,14-07-1949,1,Fairchild EC-82A Packet,Dayton-Wrigh...,USAF
USA,14-07-1949,,Douglas C-47A (DC-3),"Chicago, IL",USAF
Germany,16-07-1949,5,Handley Page Hastings C.1,Berlin-Tegel...,RAF
Egypt,16-07-1949,9,Douglas C-47B (DC-3),near Mersa Matruh,French AF
USA,19-07-1949,2+ 1,Curtiss C-46F,Seattle-Boei...,Air Transport Associates
Russia,21-07-1949,13,Ilyushin Il-12P,"near Marga, Nizhn...",Aeroflot / Moscow
Morocco,22-07-1949,17,Consolidated PBY-5 Catalina,near Agadir,French Navy
USA,30-07-1949,15,Douglas DC-3-201D,Chesterfield...,Eastern Air Lines
Germany,30-07-1949,0,Avro 685 York C.1,Wunstorf RAF...,RAF
Russia,01-08-1949,2,Lisunov Li-2,near Naberezhniye...,Aeroflot / Northern
Brazil,02-08-1949,5,Curtiss C-46D,"Jaquirana, RS",Varig
Brazil,03-08-1949,0,Douglas C-47A (DC-3),"near Joinville, SC",L.A. Brasileiras
Ecuador,06-08-1949,34,Bristol 170 Freighter 21,near Salasaca Hill,Shell Ecuador
USA,07-08-1949,0,Douglas DC-3A,"Milwaukee, WI",Capital Airlines
Oman,09-08-1949,12,Douglas Dakota IV (DC-3),near Salalah Airp...,RAF
Bolivia,10-08-1949,,Curtiss C-46A,Rurrenabaque,LAB
USA,11-08-1949,0,Convair CV-240-13,Portland Air...,Northeast Airlines
Colombia,13-08-1949,32,Douglas C-47 (DC-3),near BojacC!,SAETA
Turkey,14-08-1949,7,Douglas C-47A (DC-3),near Ankara,Turkish AF
Ireland,15-08-1949,8,Douglas C-54A (DC-4),near Lurga Point,Transocean Air Lines
France,15-08-1949,,Lockheed 18 Lodestar,near Paris,Israeli AF
Mexico,16-08-1949,0,Ford 5-AT-C Tri-Motor,Putla,LAGOSA
U.K.,19-08-1949,24,Douglas C-47A (DC-3),near Manchester-R...,BEA
Russia,20-08-1949,8,Ilyushin Il-12,near Polukotelnik...,Aeroflot / Georgia
Vietnam,21-08-1949,3,Amiot AAC.1 (Junkers Ju-52),Lao Kay,CATI
Canada,21-08-1949,21,PBV-1A Canso A (PBY-5A),Bigstone Lak...,RCAF
Algeria,22-08-1949,1,Douglas C-47A (DC-3),near Laghouat,STAAP
